Local time in Braganca,temp,RH,wind,rain,month,day,class
2017-11-03 08:00:00,10.5,99.0,1.0,1.0,11,5,0
2017-10-23 04:00:00,3.3,93.0,0.0,0.0,10,1,0
2018-11-11 11:00:00,10.8,97.0,3.0,4.0,11,7,0
2017-08-16 10:00:00,24.2,47.0,2.0,0.0,8,3,0
2017-04-07 16:00:00,23.6,17.0,3.0,0.0,4,5,0
2018-05-02 20:00:00,11.0,78.0,4.0,0.0,5,3,0
2018-01-10 17:00:00,4.4,83.0,4.0,0.0,1,3,0
2018-10-23 11:00:00,16.1,46.0,4.0,0.0,10,2,0
2016-06-12 12:00:00,25.9,40.0,4.0,0.0,6,7,0
2016-08-01 15:00:00,31.4,29.0,1.0,0.0,8,1,0
2016-12-29 23:00:00,0.0,90.0,1.0,0.0,12,4,0
2017-04-26 21:00:00,6.5,56.0,2.0,0.0,4,3,0
2016-03-26 08:00:00,10.8,87.0,4.0,0.0,3,6,0
2017-03-12 18:00:00,7.7,52.0,6.0,0.5,3,7,0
2016-04-25 01:00:00,7.8,83.0,3.0,0.0,4,1,0
2017-08-23 04:00:00,20.6,51.0,0.0,0.0,8,3,0
2017-10-28 22:00:00,13.3,57.0,1.0,0.0,10,6,0
2017-01-28 14:00:00,7.9,71.0,3.0,0.0,1,6,0
2016-03-10 05:00:00,4.2,69.0,5.0,0.0,3,4,0
2018-03-19 12:00:00,8.9,64.0,8.0,2.0,3,1,0
2016-11-17 00:00:00,5.8,95.0,0.0,0.0,11,4,0
2018-09-20 22:00:00,18.5,50.0,1.0,0.0,9,4,0
2016-01-08 12:00:00,11.8,89.0,6.0,0.3,1,5,0
2016-01-18 15:00:00,7.4,73.0,3.0,0.0,1,1,0
2017-06-02 07:00:00,15.2,78.0,0.0,0.0,6,5,0
2017-07-21 20:00:00,19.9,48.0,3.0,0.0,7,5,0
2017-02-15 20:00:00,9.7,74.0,1.0,0.0,2,3,0
2016-01-28 01:00:00,7.0,94.0,1.0,0.0,1,4,0
2016-08-19 17:00:00,23.4,61.0,5.0,0.0,8,5,0
2018-08-12 01:00:00,19.1,55.0,0.0,0.0,8,7,0
2018-06-14 20:00:00,22.6,44.0,4.0,0.0,6,4,0
2018-07-27 17:00:00,26.8,41.0,4.0,0.0,7,5,0
2016-11-11 15:00:00,7.8,83.0,5.0,0.0,11,5,0
2018-01-29 18:00:00,11.7,45.0,3.0,0.0,1,1,0
2018-09-20 04:00:00,11.8,75.0,0.0,0.0,9,4,0
2017-03-22 10:00:00,6.2,73.0,3.0,0.0,3,3,0
2017-04-14 12:00:00,18.7,53.0,3.0,0.0,4,5,0
2017-11-25 14:00:00,13.9,49.0,3.0,0.0,11,6,0
2016-05-01 03:00:00,3.6,72.0,1.0,0.0,5,7,0
2017-11-05 14:00:00,14.1,44.0,3.0,0.0,11,7,0
2017-12-14 02:00:00,10.5,91.0,3.0,0.0,12,4,0
2017-02-05 17:00:00,5.4,76.0,4.0,0.0,2,7,0
2017-01-08 17:00:00,12.5,43.0,1.0,0.0,1,7,0
2016-04-22 20:00:00,11.5,74.0,3.0,0.0,4,5,0
2017-03-09 01:00:00,7.6,86.0,0.0,0.0,3,4,0
2016-04-22 13:00:00,15.9,52.0,2.0,0.0,4,5,0
2018-12-03 20:00:00,10.9,97.0,0.0,0.0,12,1,0
2018-08-04 19:00:00,31.3,34.0,5.0,0.0,8,6,0
2018-09-22 11:00:00,25.4,43.0,1.0,0.0,9,6,0
2016-01-28 02:00:00,6.7,97.0,2.0,0.4,1,4,0
2016-04-22 10:00:00,12.0,85.0,1.0,0.0,4,5,0
2018-01-18 15:00:00,12.8,57.0,2.0,0.0,1,4,0
2018-12-27 12:00:00,2.0,99.0,0.0,0.1,12,4,0
2016-05-28 08:00:00,11.1,99.0,3.0,0.9,5,6,0
2016-02-22 04:00:00,2.6,87.0,0.0,0.0,2,1,0
2016-01-30 20:00:00,7.3,84.0,2.0,0.0,1,6,0
2017-09-27 20:00:00,19.6,37.0,2.0,0.0,9,3,0
2018-11-20 21:00:00,8.3,84.0,2.0,0.3,11,2,0
2018-03-08 16:00:00,6.9,97.0,0.0,0.2,3,4,0
2017-08-23 18:00:00,31.9,22.0,2.0,0.0,8,3,0
2018-08-21 03:00:00,19.6,47.0,1.0,0.0,8,2,0
2016-01-08 23:00:00,9.4,90.0,2.0,0.0,1,5,0
2016-02-02 04:00:00,7.4,95.0,0.0,0.0,2,2,0
2018-04-28 22:00:00,6.5,73.0,3.0,0.0,4,6,0
2016-06-16 16:00:00,15.8,57.0,5.0,0.0,6,4,0
2016-06-17 20:00:00,12.8,68.0,7.0,0.0,6,5,0
2018-04-27 19:00:00,13.7,43.0,3.0,0.0,4,5,0
2018-07-20 11:00:00,22.3,57.0,1.0,0.0,7,5,0
2017-02-27 00:00:00,8.5,78.0,3.0,0.0,2,1,0
2018-12-11 13:00:00,9.9,63.0,2.0,0.0,12,2,0
2018-07-21 15:00:00,25.8,41.0,3.0,0.0,7,6,0
2016-06-13 01:00:00,16.9,79.0,3.0,0.0,6,1,0
2016-04-24 04:00:00,5.0,93.0,1.0,0.0,4,7,0
2018-06-25 23:00:00,22.9,75.0,1.0,0.0,6,1,0
2017-10-26 18:00:00,19.4,46.0,2.0,0.0,10,4,0
2018-12-23 13:00:00,8.8,84.0,2.0,0.0,12,7,0
2017-12-28 19:00:00,10.0,83.0,3.0,0.0,12,4,0
2016-12-06 17:00:00,12.8,71.0,0.0,0.0,12,2,0
2017-06-29 22:00:00,10.5,78.0,3.0,0.0,6,4,0
2017-08-07 20:00:00,18.6,56.0,5.0,0.0,8,1,0
2017-06-02 17:00:00,24.4,33.0,4.0,0.0,6,5,0
2018-09-09 23:00:00,17.6,67.0,0.0,0.0,9,7,0
2018-11-22 14:00:00,8.4,79.0,3.0,0.3,11,4,0
2016-06-15 22:00:00,9.7,85.0,4.0,0.0,6,3,0
2016-03-08 12:00:00,10.0,55.0,3.0,0.0,3,2,0
2017-06-14 14:00:00,32.7,29.0,2.0,0.0,6,3,0
2016-07-08 08:00:00,19.7,68.0,2.0,0.0,7,5,0
2018-05-06 21:00:00,19.2,50.0,1.0,0.0,5,7,0
2016-03-21 10:00:00,10.2,68.0,4.0,0.0,3,1,0
2017-03-06 08:00:00,10.9,88.0,3.0,0.0,3,1,0
2016-05-12 04:00:00,6.7,95.0,1.0,0.0,5,4,0
2016-02-27 23:00:00,3.5,77.0,6.0,0.0,2,6,0
2018-08-20 05:00:00,17.8,46.0,2.0,0.0,8,1,0
2017-11-18 07:00:00,3.1,79.0,0.0,0.0,11,6,0
2016-09-25 14:00:00,20.7,41.0,1.0,0.0,9,7,0
2017-02-10 13:00:00,6.5,65.0,6.0,0.0,2,5,0
2018-04-26 21:00:00,17.6,56.0,3.0,0.0,4,4,0
2017-07-07 00:00:00,16.6,79.0,0.0,0.0,7,5,0
2016-03-19 21:00:00,5.4,90.0,1.0,2.0,3,6,0
2017-07-24 18:00:00,27.7,31.0,5.0,0.0,7,1,0
2018-10-23 21:00:00,13.8,54.0,1.0,0.0,10,2,0
2016-02-12 22:00:00,11.9,89.0,8.0,0.2,2,5,0
2017-06-23 22:00:00,20.5,66.0,3.0,0.0,6,5,0
2018-06-06 15:00:00,20.4,50.0,4.0,0.0,6,3,0
2018-01-07 10:00:00,4.6,62.0,3.0,0.0,1,7,0
2016-04-14 18:00:00,8.8,83.0,3.0,15.0,4,4,0
2017-05-30 11:00:00,22.2,53.0,1.0,0.0,5,2,0
2016-11-16 20:00:00,10.4,78.0,0.0,0.0,11,3,0
2016-08-12 11:00:00,26.5,26.0,3.0,0.0,8,5,0
2016-03-20 03:00:00,2.7,98.0,0.0,0.0,3,7,0
2018-09-26 12:00:00,27.0,26.0,2.0,0.0,9,3,0
2016-04-17 14:00:00,13.1,60.0,1.0,0.0,4,7,0
2016-04-26 21:00:00,13.7,63.0,3.0,0.0,4,2,0
2018-08-06 09:00:00,27.1,43.0,0.0,0.0,8,1,0
2017-05-10 01:00:00,12.8,79.0,2.0,0.0,5,3,0
2016-10-13 19:00:00,12.9,78.0,2.0,0.0,10,4,0
